,name,archetype,position,overall,outside_scoring,athleticism,inside_scoring,playmaking,defending,rebounding,intangibles,potential,total_attributes,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,speed,acceleration,strength,vertical,stamina,hustle,overall_durability,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,interior_defense,perimeter_defense,steal,block,lateral_quickness,help_defense_iq,pass_perception,defensive_consistency,offensive_rebound,defensive_rebound,weight,height
110,Scott Burrell,3PT Shooter,SF,75,70,70,61,59,59,47,98,75,"2,425",69,70,81,74,62,65,62,60,55,65,82,77,86,69,50,65,44,60,62,68,70,62,64,59,64,44,60,64,60,42,67,61,60,55,42,52,NaN,201
111,Steve Kerr,Sharpshooter,PG,73,83,70,40,66,54,37,71,73,"2,284",67,84,90,91,80,85,73,73,25,57,91,82,89,60,25,25,25,29,25,45,82,63,79,72,68,50,25,66,60,32,79,70,25,75,32,41,79,191
112,Randy Brown,Perimeter Lockdown,PG,71,66,72,42,76,64,41,98,75,"2,382",72,70,50,61,80,65,72,72,41,57,90,89,80,70,25,25,25,29,25,54,82,79,79,72,77,74,25,79,71,32,81,74,81,70,40,41,NaN,188
113,Dickey Simpkins,Paint Defender,PF,68,54,56,57,41,58,58,98,68,"2,129",65,51,36,51,60,60,25,25,85,47,67,64,80,48,77,45,50,50,48,79,62,47,38,25,52,45,78,30,58,45,30,70,74,80,58,58,112,206
114,Jud Buechler,3PT Shooter,SF,68,66,63,44,57,55,49,80,68,"2,163",64,66,82,50,66,70,55,46,45,60,75,80,80,62,35,66,25,36,34,30,63,60,63,51,62,49,45,50,65,57,60,62,54,50,47,50,99,198
115,Bill Wennington,Paint Defender,C,66,66,51,56,39,55,59,50,66,"2,073",66,72,37,80,75,65,30,30,74,30,65,52,77,52,50,40,55,60,66,45,80,48,41,25,50,32,74,30,50,45,30,72,72,70,63,54,110,213
116,Derrick Rose,Offensive Threat,PG,95,89,92,71,93,69,46,98,95,"3,043",84,90,78,86,98,98,99,99,70,96,98,98,83,95,25,90,55,55,55,92,98,88,96,99,88,95,50,74,70,37,90,77,78,75,36,55,86,191
117,Carlos Boozer,2-Way Inside-the-Arc Scorer,PF,86,77,74,80,43,63,85,90,86,"2,674",96,82,33,70,97,85,61,52,94,75,95,61,78,72,80,75,82,84,90,59,95,44,40,32,60,37,79,52,63,51,52,70,63,70,82,87,120,206
118,Joakim Noah,Defensive Anchor,C,86,68,77,65,50,77,90,70,86,"2,667",88,70,26,74,92,60,63,50,84,78,92,95,76,57,85,45,72,52,71,50,87,50,42,25,62,72,96,60,61,72,60,95,75,95,90,89,104,211
119,Taj Gibson,2-Way Inside-the-Arc Scorer,PF,78,61,69,72,42,64,83,80,79,"2,465",78,78,35,68,65,40,51,42,80,58,84,85,83,65,85,65,84,75,75,49,77,33,35,26,54,60,80,49,58,68,49,80,62,65,83,82,101,206
120,Kyle Korver,Diming Sharpshooter,SG,76,82,66,44,59,55,40,98,79,"2,301",60,92,85,89,98,70,60,63,36,57,86,80,81,68,25,25,28,60,32,35,77,79,70,26,84,38,47,55,57,50,60,58,64,50,27,52,95,201
121,Ronnie Brewer,3 & D Two Guard,SG,76,75,69,54,64,73,42,98,76,"2,524",69,67,79,65,95,75,72,72,54,57,85,60,83,70,25,25,52,50,70,54,85,70,78,65,69,38,52,82,74,40,84,84,82,85,35,48,NaN,201
122,C.J. Watson,3 & D Point,PG,75,72,77,45,74,69,50,98,76,"2,525",59,61,79,74,89,70,80,80,40,69,98,88,84,64,25,25,25,39,29,67,85,69,81,80,71,70,38,83,79,50,84,77,59,80,49,51,NaN,188
123,Omer Asik,Glass Cleaner,C,74,51,62,67,36,55,83,55,81,"2,201",60,29,25,50,88,55,32,30,65,58,84,85,83,56,80,60,74,44,69,76,78,29,35,25,62,28,76,37,57,56,37,78,54,45,85,80,115,213
124,Kurt Thomas,Paint Protector,PF,73,59,65,57,45,57,74,80,83,"2,255",77,61,25,62,69,60,55,41,64,70,68,72,84,60,50,30,61,64,61,57,75,48,38,44,45,51,72,42,52,49,32,71,64,70,71,77,NaN,206
125,Brian Scalabrine,Mid-Range Specialist,PF,70,79,58,50,48,44,54,66,79,"2,122",77,88,70,73,95,70,45,32,59,55,85,45,83,48,25,38,45,62,56,44,82,53,35,25,84,42,42,39,57,52,39,44,45,35,52,56,108,206
126,Keith Bogans,Inside-Out Scorer,SG,69,61,77,58,72,52,42,94,81,"2,402",69,25,82,65,68,58,84,84,33,83,83,89,80,83,33,63,33,63,44,60,85,78,80,86,77,40,34,57,42,37,57,65,65,59,33,50,NaN,196
127,John Lucas III,Position: PG,"Height: 5&apos11"" (180cm)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NaN,NaN
128,Mark Price,Playmaking Shot Creator,PG,89,90,75,47,88,58,41,98,93,"2,614",87,90,90,88,93,90,79,79,40,60,85,95,85,82,25,25,25,29,25,75,92,95,84,79,95,86,25,70,67,27,81,68,45,80,38,44,77,183
129,Brad Daugherty,Glass-Cleaning Finisher,C,85,78,62,75,48,61,86,80,90,"2,569",95,78,35,70,97,95,35,35,78,55,85,70,75,44,65,43,88,86,90,88,92,65,34,25,60,55,78,40,58,47,40,79,62,85,84,88,110,213
130,Larry Nance,2-Way Finisher,SF,85,72,84,81,59,80,70,90,88,"2,916",74,64,40,77,98,80,77,77,75,85,98,98,78,78,85,95,75,65,80,70,98,51,50,73,70,49,80,87,60,74,89,88,75,85,66,74,92,208
131,Hot Rod Williams,Glass Cleaner,PF,82,69,73,75,48,61,83,98,83,"2,595",84,44,25,74,98,90,48,48,78,75,85,90,85,49,95,60,80,80,86,76,72,50,36,38,49,68,69,45,62,45,45,77,62,80,84,82,97,211
132,Craig Ehlo,Shooter,SG,79,81,73,52,71,67,53,98,80,"2,589",75,82,86,68,98,75,69,69,46,73,93,79,81,79,25,51,25,55,36,76,72,69,74,69,75,69,40,78,74,37,78,78,77,75,52,53,81,198
133,Steve Kerr,Sharpshooter,PG,76,80,70,40,73,51,34,98,75,"2,299",66,84,95,86,75,75,73,73,25,57,91,82,90,62,25,25,25,29,25,46,82,72,79,72,70,70,25,58,61,32,74,54,45,55,29,39,79,191
134,Winston Bennett,Perimeter Defender,SF,75,63,76,58,58,66,61,98,75,"2,482",68,70,40,69,98,35,74,74,60,79,88,85,70,75,50,50,54,52,35,72,72,60,65,70,60,35,48,75,74,25,75,78,77,75,50,72,NaN,201
135,Reggie Williams,Slasher,SF,74,72,70,66,58,56,46,80,81,"2,439",78,75,65,76,64,75,69,63,45,75,80,75,80,82,62,85,40,62,63,61,75,58,65,63,60,42,50,59,67,51,67,62,48,45,46,45,86,201
136,Chucky Brown,Rugged Wing,SF,71,72,75,53,49,59,73,80,71,"2,387",82,75,54,76,80,65,62,63,76,57,79,93,92,39,70,45,61,33,59,51,62,66,35,51,64,28,71,48,56,80,48,75,45,50,70,75,110,206
137,Tree Rollins,Paint Defender,C,68,51,62,46,28,62,67,50,78,"2,006",52,35,25,68,65,63,55,54,82,35,70,60,79,30,70,40,50,40,40,37,58,30,25,25,31,29,84,26,58,83,26,77,68,75,68,65,106,216
138,Paul Mokeski,Paint Defender,C,64,63,49,43,35,54,64,64,65,"1,923",66,60,43,69,70,70,25,25,70,25,58,60,77,25,35,40,48,45,42,62,50,40,33,25,44,31,72,25,57,52,25,72,60,65,58,70,113,213
139,LeBron James,All-Around Threat,SF,97,86,93,87,88,82,59,98,98,"3,272",88,82,82,69,98,98,97,97,84,97,98,80,97,98,70,98,74,84,87,85,98,85,85,93,88,88,78,94,67,52,95,93,90,90,50,67,108,203
140,Zydrunas Ilgauskas,2-Way Inside-the-Arc Scorer,C,83,76,62,77,39,60,80,80,86,"2,495",79,85,68,83,78,60,30,30,87,60,84,58,82,60,85,60,85,88,88,66,80,35,35,25,60,40,83,25,59,75,25,77,69,65,84,76,107,221
141,Larry Hughes,All-Around Threat,SG,82,82,78,57,81,72,50,65,84,"2,728",83,82,85,75,98,70,74,82,49,68,98,98,79,87,25,40,30,72,40,70,95,80,92,79,90,63,34,84,84,45,85,83,80,80,49,51,83,196
142,Donyell Marshall,Stretch Four,PF,76,76,72,71,45,58,74,60,81,"2,505",70,74,79,83,88,60,57,50,75,60,90,90,84,70,65,60,68,70,74,74,84,38,44,37,67,41,60,49,62,64,49,59,61,60,73,75,98,206
143,Drew Gooden,Mid-Range Specialist,PF,76,75,67,58,37,54,84,98,76,"2,338",76,88,75,68,80,60,61,52,76,60,77,66,77,55,60,51,67,60,65,66,37,25,36,30,64,32,64,52,63,50,52,60,52,40,86,81,104,208
144,Daniel Gibson,2-Way Sharpshooter,PG,75,77,77,61,60,62,43,95,75,"2,544",74,84,85,71,75,75,87,87,51,95,85,66,71,82,40,70,38,69,61,45,84,45,78,84,54,41,54,78,59,40,86,53,52,70,41,44,86,188
145,Damon Jones,Sharpshooter,PG,74,85,72,49,64,58,39,50,78,"2,402",78,82,92,84,94,80,77,78,42,65,90,70,81,78,30,50,28,38,30,70,71,58,68,75,59,62,38,68,58,45,85,60,62,50,32,46,83,191
146,Scot Pollard,Mid-Range Shooter,C,73,58,57,61,41,59,87,50,77,"2,208",70,79,25,69,68,35,44,25,62,35,80,87,65,51,65,45,70,53,64,77,66,46,35,25,46,52,74,37,69,60,37,74,72,45,90,84,124,211
147,Eric Snow,Position: PG,"Height: 6&apos3"" (191cm) | Weight: 190lbs (86kg)",73,64,69,59,77,68,42,70,73,"2,493",75,78,55,63,80,35,72,72,54,57,85,60,83,79,25,25,55,70,70,53,93,82,79,71,80,72,52,81,61,40,81,84,60,85,35,48,NaN,NaN
148,David Wesley,Inside-Out Scorer,SG,71,74,70,48,62,51,41,98,76,"2,286",80,75,77,71,80,60,73,84,42,66,80,73,74,78,25,25,30,47,30,65,80,58,76,60,55,60,36,57,63,47,61,60,42,40,30,52,86,183
149,Shannon Brown,Athletic Finisher,SG,66,58,78,56,55,52,44,67,76,"2,263",69,65,74,71,40,30,77,75,58,98,80,70,88,73,50,85,33,48,38,57,64,55,64,77,45,35,47,60,63,51,60,58,44,30,41,47,NaN,193
150,LeBron James,2-Way 3-Level Point Forward,SF,99,89,93,90,90,83,77,98,99,"3,378",96,91,76,73,98,98,89,89,92,94,98,95,97,98,75,95,82,88,89,97,98,87,86,88,95,96,80,96,62,52,89,93,97,98,75,79,113,203
151,Kyrie Irving,Versatile Offensive Force,PG,93,95,79,61,85,60,40,70,93,"2,760",92,97,97,89,94,98,86,86,37,81,97,87,79,96,25,30,35,64,64,80,96,84,99,86,82,74,32,62,66,45,83,74,81,40,36,43,87,191
152,Kevin Love,3-Level Scoring Glass Cleaner,PF,87,87,74,79,51,56,90,98,87,"2,739",82,84,81,82,98,95,47,46,88,70,93,95,77,74,71,51,88,88,88,85,90,64,48,27,73,42,74,36,55,49,36,75,53,70,89,90,109,208
153,J.R. Smith,Shooter,SG,80,74,79,59,73,60,40,98,85,"2,580",64,80,94,63,58,85,81,77,52,88,92,85,79,82,40,85,25,62,45,44,90,78,80,72,79,55,45,73,63,42,79,68,62,50,35,45,99,198
154,Tristan Thompson,Defensive Anchor,C,79,59,77,68,41,59,92,50,81,"2,434",94,66,25,62,66,40,64,48,74,74,90,98,90,68,85,75,62,52,64,60,80,31,39,25,70,42,79,56,41,51,56,79,58,55,97,87,107,208
155,Matthew Dellavedova,Diming 3 & D Point,PG,76,72,71,40,77,60,39,98,76,"2,365",88,74,84,86,70,30,71,63,35,67,82,98,81,70,25,25,28,28,30,38,76,75,75,71,88,76,30,82,32,27,89,79,60,80,29,49,90,193
156,Richard Jefferson,Inside-Out Scorer,SF,75,66,85,66,71,63,43,60,89,"2,606",68,62,82,67,69,45,87,85,69,92,98,85,78,84,60,85,45,62,70,48,75,68,79,78,67,62,60,69,60,47,79,68,63,55,31,55,104,201
157,Mo Williams,Diming 3-Level Scorer,PG,74,82,73,50,79,61,45,25,88,"2,488",75,80,81,90,79,85,80,80,38,72,81,74,84,81,25,25,25,60,39,60,86,81,81,80,83,70,32,71,51,43,79,74,70,70,46,44,NaN,185
158,Channing Frye,Stretch Five,C,74,75,61,62,39,52,49,65,76,"2,218",70,82,84,79,82,50,48,32,68,60,75,58,83,70,60,59,72,69,68,47,48,28,37,25,70,37,67,45,36,53,45,70,57,45,32,66,115,213
159,Dahntay Jones,Perimeter Lockdown,SF,72,71,73,53,52,55,39,98,74,"2,307",62,73,75,81,98,35,73,74,60,70,80,85,70,64,50,50,45,40,35,67,72,60,65,50,51,35,48,78,59,25,70,70,48,40,30,47,NaN,198
160,Jordan McRae,3PT Specialist,SG,70,67,77,62,55,52,44,68,74,"2,353",71,70,83,69,48,60,77,74,58,67,90,84,90,82,40,80,33,56,45,78,79,60,72,67,42,35,50,51,56,58,68,45,60,25,35,53,81,196
161,Bill Russell,Position: C / PF,"Height: 6&apos10"" (208cm) | Weight: 215lbs (97kg)",98,70,92,85,69,83,98,80,98,"3,123",94,45,29,57,98,97,84,84,94,88,97,98,96,76,95,83,95,65,94,71,98,78,45,54,88,80,98,55,72,99,55,96,97,95,97,98,NaN,NaN
162,Sam Jones,Diming 3-Level Scorer,SG,89,92,87,68,78,69,57,98,92,"2,947",93,95,86,82,98,95,81,82,75,82,98,98,90,82,35,66,49,69,59,89,98,79,75,78,82,77,50,75,65,43,79,78,75,85,55,59,89,193
163,K.C. Jones,2-Way Diming Finisher,PG,85,68,81,51,82,81,41,98,85,"2,704",70,63,63,63,70,78,87,87,58,70,85,95,85,83,25,25,45,55,33,65,78,80,80,84,86,82,66,90,90,35,94,92,88,90,40,41,90,185
164,Tom Sanders,Glass-Cleaning Lockdown,PF,85,70,83,65,42,79,85,85,85,"2,711",68,50,45,75,98,85,68,67,89,75,88,97,99,74,66,82,55,50,55,68,72,34,53,37,49,38,90,80,66,70,61,92,85,90,85,85,95,198
165,John Havlicek,2-Way 3-Level Scorer,PF,83,85,85,64,67,72,48,98,96,"2,814",86,83,78,74,98,90,77,77,80,68,98,97,98,87,40,50,50,65,55,73,90,64,74,76,60,63,55,80,65,45,84,86,78,80,50,46,91,196
166,Tom Heinsohn,Sharpshooter,PF,80,81,70,69,53,64,71,82,90,"2,616",71,86,84,79,97,70,52,55,85,65,77,82,77,67,48,59,88,58,74,71,85,54,60,33,60,58,75,53,60,55,53,82,60,70,70,71,98,201
167,Mel Counts,Glass Cleaner,C,75,72,59,66,46,49,80,98,78,"2,327",83,65,50,78,88,65,50,50,66,47,60,65,76,42,79,43,74,74,74,79,60,50,33,37,55,54,65,32,60,45,32,52,48,60,75,85,104,213
168,Larry Siegfried,3 & D Point,PG,71,72,71,48,67,61,30,73,80,"2,354",75,75,77,78,66,60,81,81,44,45,85,85,79,65,25,40,25,45,30,73,82,52,79,80,61,64,35,80,47,28,87,75,59,78,25,35,86,191
169,Gerry Ward,Perimeter Defender,SG,68,72,69,40,62,58,47,98,71,"2,265",78,69,50,64,95,75,64,64,41,61,85,90,76,54,25,25,25,38,25,55,69,65,62,62,60,61,25,72,51,25,79,72,71,70,44,49,NaN,193
170,John Thompson,Paint Protector,C,68,45,53,52,34,51,73,98,68,"1,949",48,35,25,59,55,50,49,49,87,25,55,30,79,27,66,40,59,40,65,75,44,39,26,42,32,32,74,25,28,40,25,77,66,70,70,75,101,208
171,Larry Bird,Playmaking 3-Level 2-Way,SF,97,96,76,74,81,85,69,98,98,"3,116",96,96,96,89,99,98,67,67,65,50,97,98,91,72,40,45,70,94,96,76,98,94,79,64,95,73,85,88,75,47,88,97,98,99,61,77,99,206
172,Kevin McHale,Paint Beast,PF,92,79,74,83,61,75,93,98,96,"2,936",92,65,45,77,98,95,59,59,82,40,98,98,85,70,70,55,94,92,98,84,98,68,45,49,75,69,98,44,55,71,38,98,95,98,92,93,95,208
173,Robert Parish,Paint Beast,C,87,68,77,77,48,69,89,70,91,"2,692",73,55,25,73,85,95,69,69,85,35,98,98,85,50,85,45,78,93,93,72,98,50,45,59,54,34,92,41,59,65,26,94,80,95,89,89,104,213
174,Dennis Johnson,2-Way Tempo Pusher,PG,84,75,81,57,80,77,42,75,89,"2,734",82,72,60,81,75,80,82,82,67,75,91,87,85,84,25,25,40,60,74,69,80,80,86,82,80,71,66,96,64,42,97,88,74,85,40,43,83,193
175,Bill Walton,Glass-Cleaning Lockdown,C,82,62,57,70,56,67,87,95,92,"2,507",63,55,26,71,70,85,25,52,70,33,70,79,71,32,81,40,88,88,70,72,90,64,43,51,68,52,84,27,59,84,27,88,84,85,84,89,95,211
176,Danny Ainge,3PT Facilitator,SG,78,85,73,54,77,58,49,98,80,"2,569",75,81,83,90,98,80,64,62,47,55,98,98,86,75,25,42,48,51,25,77,85,82,76,60,88,79,43,64,64,30,64,74,64,60,49,49,79,193
177,Scott Wedman,2-Way Mid-Range Shooter,SF,75,80,71,50,47,72,50,90,79,"2,460",85,89,77,66,85,80,53,52,87,52,82,83,88,57,47,50,29,48,44,48,78,44,61,47,48,35,55,83,60,47,85,82,84,80,52,48,97,201
178,Jerry Sichting,Pass-First Point,PG,75,82,74,40,79,62,36,68,75,"2,444",79,80,68,92,95,80,79,79,30,75,85,90,83,60,25,25,25,29,25,55,75,80,76,79,82,79,25,79,61,25,81,78,75,75,35,37,76,185
179,Sam Vincent,Slashing Playmaker,PG,69,65,73,46,77,49,44,68,75,"2,271",70,65,51,92,54,60,77,77,30,82,87,79,77,82,25,25,25,29,25,76,79,76,79,79,80,70,25,48,64,37,68,55,58,35,40,47,83,188
180,Greg Kite,Position: C,"Height: 6&apos11"" (211cm)",69,5,--,7,--,--,--,--,--,85,--,--,27,--,--,--,--,--,--,--,--,--,--,--,--,58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NaN,NaN
181,Kevin Garnett,2-Way Inside-the-Arc Scorer,PF,94,86,80,82,62,80,88,90,97,"3,042",92,91,69,80,98,85,63,48,84,85,98,98,85,72,80,60,85,87,95,80,98,69,60,35,75,69,97,63,75,75,49,96,88,96,86,89,99,211
182,Paul Pierce,2-Way 3-Level Scorer,SF,92,91,83,77,73,77,59,98,94,"3,027",92,81,92,84,98,98,73,73,80,70,98,98,86,89,45,70,59,90,79,84,98,70,82,70,75,70,69,87,64,50,87,87,84,85,49,69,106,201
183,Ray Allen,2-Way Diming Sharpshooter,SG,88,92,81,66,77,71,54,98,95,"2,904",85,86,97,90,98,98,76,73,66,75,98,98,82,85,25,66,49,69,60,79,98,79,78,71,80,77,45,84,60,37,85,86,84,85,49,58,92,196
184,Rajon Rondo,2-Way Slashing Playmaker,PG,86,67,82,57,95,76,50,40,89,"2,740",75,70,75,61,70,50,91,91,48,85,88,92,79,97,25,30,60,50,50,61,85,97,92,91,97,97,36,92,85,37,95,84,95,80,46,54,77,185
185,Kendrick Perkins,Defensive Anchor,C,77,60,69,68,40,64,77,70,77,"2,395",89,44,25,62,80,60,49,49,95,52,73,83,79,60,85,45,74,59,72,67,85,35,41,35,54,33,84,37,57,84,32,80,66,70,74,79,126,208
186,Leon Powe,Glass Cleaner,C,77,61,70,68,34,56,81,65,77,"2,319",87,55,25,70,65,65,66,25,90,60,80,96,70,51,90,60,50,52,62,87,90,25,35,25,58,28,72,30,58,56,30,82,60,60,91,71,108,203
187,James Posey,2-Way Shooter,SF,76,73,75,56,62,74,52,60,80,"2,561",75,78,83,81,78,45,72,71,70,80,85,70,77,74,40,65,47,55,48,40,80,62,73,66,61,48,68,81,67,57,85,78,78,80,57,46,97,203
188,Tony Allen,2-Way Interior Finisher,SG,76,64,76,59,59,76,46,60,78,"2,519",78,72,70,76,55,30,82,73,68,78,80,80,73,75,35,78,42,35,52,72,85,58,70,58,59,50,64,85,73,52,94,79,78,80,40,52,96,193
189,Glen Davis,2-Way Inside-the-Arc Scorer,C,75,66,65,69,43,63,72,80,75,"2,421",79,82,58,66,70,40,50,45,88,41,75,82,76,64,60,44,69,79,80,75,84,31,42,50,62,29,80,64,63,56,45,75,58,60,84,60,NaN,206
190,Sam Cassell,Diming 3-Level Scorer,PG,74,76,71,46,79,61,43,70,84,"2,441",82,79,76,88,79,50,74,74,40,65,88,70,85,77,25,30,27,39,29,65,73,84,80,74,83,76,54,72,61,35,83,76,59,50,33,52,83,191
191,P.J. Brown,Defensive Anchor,C,74,58,58,59,39,65,82,50,82,"2,245",70,75,26,69,75,35,32,25,70,54,75,75,76,69,65,50,65,52,66,50,58,40,35,25,64,31,83,37,58,75,37,82,75,75,84,80,108,216
192,Eddie House,Shooter,PG,74,81,72,52,69,52,42,80,74,"2,404",74,80,84,86,85,75,78,78,54,69,84,63,79,72,25,53,40,45,27,60,92,68,69,78,68,64,26,62,70,27,65,62,60,45,34,49,NaN,185
193,Brian Scalabrine,Stretch Four,PF,73,83,58,50,48,44,54,66,78,"2,144",77,84,89,78,98,70,45,32,59,55,85,45,83,48,25,38,45,62,56,44,82,53,35,25,84,42,42,39,57,52,39,44,45,35,52,56,108,206
194,Scot Pollard,Mid-Range Shooter,C,73,58,57,61,41,59,87,40,77,"2,198",70,79,25,69,68,35,44,25,62,35,80,87,65,51,65,45,70,53,64,77,66,46,35,25,46,52,74,37,69,60,37,74,72,45,90,84,124,211
195,Chris Paul,All-Around Threat,PG,94,88,80,57,92,80,50,94,94,"2,930",95,86,82,86,85,95,84,84,58,78,95,85,77,92,25,27,40,55,48,71,95,95,94,84,95,93,65,93,85,32,95,82,96,90,37,63,79,183
196,Blake Griffin,2-Way Slashing Playmaker,PF,91,85,89,87,74,62,85,75,91,"3,024",96,75,68,72,98,98,79,79,94,90,95,95,88,78,99,98,79,79,92,83,91,72,75,75,74,72,79,50,61,47,50,72,70,65,82,88,113,208
197,DeAndre Jordan,Paint Beast,C,87,54,80,71,36,74,96,95,87,"2,600",94,25,25,43,94,40,66,50,94,77,91,90,94,57,97,96,48,40,61,79,92,25,30,27,66,31,94,55,58,81,55,96,60,95,95,97,119,211
198,JJ Redick,2-Way Diming Sharpshooter,SG,82,93,70,53,71,65,44,98,82,"2,608",89,87,94,92,98,95,62,63,35,63,88,98,81,78,25,25,40,50,25,79,98,75,70,44,85,80,35,79,69,37,75,75,76,75,44,44,86,193
199,Jamal Crawford,3-Level Shot Creator,SG,81,88,68,55,75,55,34,98,81,"2,503",93,93,80,87,88,85,71,79,40,75,82,51,77,84,25,50,25,57,50,68,78,75,97,79,64,60,43,61,61,37,68,60,68,45,29,39,88,196
200,Darren Collison,Position: PG,"Height: 6&apos0"" (183cm) | Weight: 175lbs (79kg)",78,77,78,49,82,62,42,75,78,"2,537",57,88,84,83,85,65,88,88,49,72,85,80,84,82,25,45,25,45,32,50,86,80,86,88,80,74,34,80,76,35,80,70,65,55,34,49,NaN,NaN
201,Jared Dudley,Stretch Four,PF,77,79,67,53,50,63,56,88,77,"2,394",80,97,80,66,84,65,48,40,69,65,84,74,86,70,40,35,35,52,58,44,88,55,63,36,58,38,70,64,42,51,64,79,72,65,47,65,107,201
202,Ryan Hollins,Paint Beast,C,77,63,73,67,46,60,77,40,77,"2,408",89,74,33,63,88,30,68,52,78,87,71,75,82,62,90,85,61,39,66,71,65,25,35,66,74,28,83,42,55,80,42,82,51,45,84,70,110,213
203,Danny Granger,Shooter,SF,76,76,72,56,64,56,58,80,83,"2,453",50,86,79,84,90,65,68,68,65,60,85,86,75,70,40,50,44,54,57,50,80,64,70,62,64,62,45,66,52,50,76,63,50,45,45,70,103,206
204,Hedo Turkoglu,Inside-Out Scorer,SF,76,67,68,71,60,49,47,80,78,"2,385",54,70,88,50,98,40,57,75,70,40,70,80,82,81,80,70,60,68,60,65,85,64,57,52,62,65,52,60,45,42,52,58,42,40,45,48,99,208
205,Matt Barnes,3 & D Wing,SF,76,63,79,57,59,70,62,98,76,"2,541",87,52,77,73,60,30,74,72,69,85,94,85,77,72,40,68,52,52,42,45,81,62,60,58,56,61,74,80,60,52,81,75,68,70,47,76,102,201
206,Glen Davis,Rebounder,PF,73,64,66,67,43,56,66,85,74,"2,335",83,75,25,63,75,60,50,45,92,41,75,82,76,64,60,44,69,72,74,67,85,31,42,50,62,32,55,35,71,58,44,75,58,55,62,69,NaN,206
207,Reggie Bullock,Prospect,SG,70,71,69,50,62,49,39,98,76,"2,261",69,54,73,76,90,65,64,64,50,72,80,70,80,71,40,50,30,51,42,50,66,75,71,51,72,40,50,56,37,37,60,63,50,40,31,47,92,201
208,Pau Gasol,2-Way Inside-the-Arc Scorer,C,91,83,70,86,57,68,86,95,91,"2,859",88,84,60,69,97,98,57,37,85,41,95,95,78,80,85,65,93,92,95,85,95,58,48,25,82,71,91,36,62,74,36,89,70,85,84,88,113,213
209,Shane Battier,2-Way Sharpshooter,SF,83,74,78,58,69,81,57,70,87,"2,712",86,86,86,71,77,35,78,78,74,74,90,75,77,72,35,70,42,53,52,52,85,65,76,72,72,60,70,86,84,57,91,84,92,85,57,56,99,203
210,Mike Miller,Sharpshooter,SG,82,84,79,59,74,58,54,98,83,"2,648",72,84,88,80,94,85,78,78,65,78,90,85,82,84,25,45,36,58,43,84,94,70,77,77,78,69,50,72,69,35,72,58,45,60,37,70,NaN,203
211,Eddie Jones,2-Way 3-Level Shot Creator,SG,79,76,77,65,70,74,43,98,88,"2,728",74,76,81,78,84,60,69,71,60,78,90,86,88,80,50,85,29,75,55,61,85,68,88,72,69,52,60,82,81,52,82,80,75,80,41,45,86,198
212,Damon Stoudamire,Diming Outside Scorer,PG,76,75,74,45,80,50,44,95,78,"2,386",60,86,78,86,76,65,81,81,51,78,84,71,72,79,25,25,25,40,25,72,70,82,82,81,80,74,27,58,63,25,74,63,47,40,41,46,77,178
213,Bobby Jackson,3PT Playmaker,PG,76,73,75,44,82,51,47,80,78,"2,386",70,70,84,73,77,65,88,88,43,77,85,63,81,80,25,25,27,40,28,56,72,84,84,88,85,70,25,62,63,32,73,60,51,40,38,56,83,185
214,Hakim Warrick,Interior Finisher,PF,74,64,78,67,47,55,68,80,82,"2,436",74,62,37,66,98,45,76,76,60,86,80,85,84,68,85,80,58,60,59,44,80,49,40,57,47,44,64,48,48,60,48,60,65,45,66,70,99,206
215,Dahntay Jones,Perimeter Lockdown,SF,72,71,73,53,52,55,39,98,74,"2,307",62,73,75,81,98,35,73,74,60,70,80,85,70,64,50,50,45,40,35,67,72,60,65,50,51,35,48,78,59,25,70,70,48,40,30,47,NaN,198
216,Brian Cardinal,Stretch Four,PF,72,75,55,56,38,48,60,98,72,"2,138",67,70,88,70,88,65,31,26,52,55,77,62,81,57,45,45,52,56,55,50,84,35,44,31,35,44,55,36,48,55,36,68,55,30,62,58,104,208
217,Zach Randolph,2-Way Inside-the-Arc Creator,PF,87,81,71,77,57,67,94,75,87,"2,760",93,80,44,75,98,95,39,40,88,54,98,98,77,62,60,40,85,88,95,84,98,72,49,25,70,70,85,42,58,49,49,84,82,85,92,95,117,206
218,Mike Conley,2-Way Playshot,PG,86,82,82,48,83,70,42,90,87,"2,676",72,90,86,83,93,65,87,87,40,95,95,85,82,85,25,30,25,40,29,63,84,80,86,86,85,77,31,87,67,45,90,80,80,80,32,52,79,185
219,Tony Allen,2-Way Interior Finisher,SG,79,64,76,59,59,80,46,50,79,"2,546",78,72,70,76,55,30,82,73,68,78,80,80,73,75,35,78,42,35,52,72,85,58,70,58,59,50,64,94,73,52,94,85,84,95,40,52,NaN,193
220,Ed Davis,Glass Cleaner,C,78,57,72,69,40,61,88,60,78,"2,393",84,68,25,57,63,45,69,34,78,75,80,90,81,60,75,69,74,57,60,73,80,32,45,32,60,29,74,46,57,62,46,74,55,70,88,88,108,208
