,name,archetype,position,overall,outside_scoring,athleticism,inside_scoring,playmaking,defending,rebounding,intangibles,potential,total_attributes,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,speed,acceleration,strength,vertical,stamina,hustle,overall_durability,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,interior_defense,perimeter_defense,steal,block,lateral_quickness,help_defense_iq,pass_perception,defensive_consistency,offensive_rebound,defensive_rebound,anchor,backdown_punisher,boxout_beast,brick_wall,clutch_shooter,dream_shake,dropstepper,masher,post_move_lockdown,post_playmaker,post_spin_technician,rise_up,vice_grip,aerial_wizard,amped,break_starter,bully,fearless_finisher,middy_magician,pogo_stick,pro_touch,volume_shooter,agent_3,catch_and_shoot,claymore,green_machine,needle_threader,rebound_chaser,acrobat,ankle_breaker,bail_out,blinders,deadeye,dimer,floor_general,guard_up,handles_for_days,hyperdrive,killer_combos,slithery,space_creator,special_delivery,clamp_breaker,giant_slayer,limitless_range,unpluckable,fast_twitch,mismatch_expert,quick_first_step,slippery_off_ball,corner_specialist,glove,interceptor,ankle_braces,challenger,clamps,menace,off_ball_pest,pick_dodger,chase_down_artist,work_horse,comeback_kid,posterizer,limitless_takeoff,rhythm_shooter,weight,height
267,Al Horford,2-Way Diming 3-Level Scorer,C,85,89,74,77,63,74,64,40,85,"2,829",97,96,80,82,96,80,53,48,90,69,93,85,78,74,80,61,87,86,87,60,84,75,50,33,88,70,92,63,42,78,67,92,70,90,57,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,208
268,Tree Rollins,2-Way Mid-Range Specialist,C,84,62,75,59,29,69,89,98,84,"2,420",78,68,40,76,48,63,55,50,90,78,85,85,81,30,86,42,70,54,44,65,78,35,26,25,31,28,91,27,58,97,27,91,68,90,88,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,216
269,Jimmy Butler,2-Way Slashing Playmaker,SF,93,87,85,82,83,85,58,98,93,"3,169",88,84,71,85,98,98,84,83,76,78,97,95,81,92,40,80,82,82,84,95,98,84,86,82,88,73,75,90,84,55,92,92,96,95,55,60,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,104,201
270,Bam Adebayo,Glass-Cleaning Lockdown,C,87,74,84,83,69,80,79,40,89,"2,966",88,73,69,76,60,80,74,74,85,83,92,90,90,81,85,80,80,80,82,84,90,72,69,66,74,65,92,79,66,66,73,92,80,90,70,87,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,115,206
271,Tyler Herro,Versatile Offensive Force,SG,84,89,75,62,78,54,49,98,88,"2,665",84,83,83,88,98,98,79,78,59,72,85,75,80,89,30,60,37,55,48,84,95,79,83,74,84,70,46,69,37,35,70,65,60,50,33,64,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,1.0,,,,1.0,,,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,88,196
272,Kyle Lowry,2-Way Playshot,PG,82,83,83,50,81,73,46,98,85,"2,740",88,81,81,88,98,60,84,84,67,72,96,97,79,80,25,25,38,44,40,50,95,80,86,84,80,77,68,86,46,45,86,86,84,85,34,58,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,88,183
273,Victor Oladipo,2-Way Inside-Out Scorer,PG,78,74,81,58,78,69,46,90,80,"2,677",77,72,81,75,75,65,81,81,66,88,85,85,83,75,35,85,41,53,40,50,84,75,82,80,80,73,58,84,42,40,84,82,78,80,35,57,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,96,193
274,Max Strus,Shooter,SF,76,82,73,55,63,49,45,85,80,"2,403",77,76,85,76,95,85,76,76,40,74,88,75,85,68,35,65,42,54,48,54,70,67,69,74,69,37,45,57,36,51,65,50,50,35,33,56,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,97,196
275,Caleb Martin,Stretch Four,SG,76,79,71,61,57,70,56,50,77,"2,545",56,82,84,73,95,85,55,55,58,74,85,90,80,86,25,70,55,54,54,70,75,62,69,54,69,33,68,75,63,62,74,74,72,70,54,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,196
276,Gabe Vincent,3-Level Scorer,SG,75,84,70,46,72,54,38,85,79,"2,392",89,84,80,87,75,90,73,73,40,66,85,69,82,76,25,45,26,32,26,59,80,74,76,70,74,68,37,60,59,45,65,60,57,45,33,43,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,191
277,Omer Yurtseven,Glass Cleaner,C,75,73,70,66,48,54,90,60,76,"2,443",88,69,70,68,70,75,53,52,70,70,85,80,83,65,70,65,66,64,65,47,82,50,60,37,52,42,62,49,40,70,49,62,58,40,89,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,211
278,Dewayne Dedmon,2-Way Stretch Glass Cleaner,C,75,75,66,58,37,65,84,50,76,"2,369",89,55,79,79,85,60,44,39,80,66,77,75,80,67,60,60,55,46,59,61,59,25,44,31,52,32,79,48,38,81,59,78,58,75,77,91,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,213
279,Duncan Robinson,Shooter,SG,74,76,67,56,60,47,41,95,78,"2,305",81,81,84,71,75,65,59,59,35,72,85,75,83,75,30,70,40,44,35,64,90,66,72,56,70,38,50,52,37,42,65,50,50,30,32,49,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,97,201
280,Nikola Jovic,Pass-First Wing,SF,71,67,70,57,69,52,48,60,79,"2,332",70,70,70,72,70,50,68,68,44,72,85,70,80,76,30,60,55,60,44,47,80,69,70,67,68,69,59,62,35,35,65,60,57,40,44,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,208
281,Udonis Haslem,Paint Protector,PF,70,62,66,60,38,60,69,54,76,"2,243",82,66,47,75,64,35,54,33,73,60,78,90,76,52,55,61,62,68,60,56,64,29,35,31,64,29,74,55,64,40,48,70,66,60,57,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,203
282,Marcus Garrett,Tempo-Pushing Guard,PG,68,63,76,48,67,64,60,50,73,"2,382",66,70,72,77,60,35,78,78,60,75,85,76,80,75,25,65,32,34,30,40,80,75,79,78,70,33,34,75,59,65,80,70,69,60,64,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,196
283,Haywood Highsmith,Prospect,SG,68,70,71,51,55,52,56,50,70,"2,244",70,70,75,73,75,55,70,70,50,79,80,65,86,68,35,50,42,44,41,44,80,55,70,64,55,30,41,60,32,58,70,55,65,35,60,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,193
284,Darius Days,Paint Protector,PF,67,64,76,52,49,55,55,55,70,"2,247",65,69,73,71,65,40,70,70,66,78,85,80,80,70,50,70,41,37,41,40,70,49,50,60,52,35,64,65,42,47,68,50,50,50,49,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,201
285,LeBron James,All-Around Threat,SF,99,91,92,88,90,84,66,98,99,"3,351",97,94,86,75,98,98,86,85,92,94,98,95,97,98,70,95,74,84,89,96,98,87,86,85,96,96,80,96,62,52,96,93,97,98,52,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,203
286,Dwyane Wade,2-Way Playshot,SG,97,91,91,78,93,85,59,98,97,"3,267",97,96,78,78,98,98,96,96,70,90,98,98,92,97,35,85,62,79,75,95,98,95,92,96,95,89,67,94,79,59,92,95,95,95,59,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,193
287,Alonzo Mourning,2-Way Inside-the-Arc Scorer,C,94,85,82,91,41,85,94,30,94,"3,005",94,82,62,78,96,97,65,60,96,82,98,95,80,80,98,70,98,94,96,96,92,33,50,30,64,29,97,62,74,97,62,98,90,98,92,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,208
288,Jimmy Butler,2-Way Slashing Point Forward,SF,91,87,82,76,83,85,62,65,91,"3,087",88,84,75,87,95,95,84,83,76,78,95,80,81,89,40,80,59,72,84,94,93,79,84,82,88,80,75,90,96,51,92,92,96,90,56,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,201
289,Tim Hardaway,All-Around Threat,PG,89,88,88,54,92,77,43,45,90,"2,877",85,86,83,80,98,98,96,96,70,80,98,94,85,94,25,25,25,55,33,84,92,88,95,96,89,94,40,90,94,30,92,82,94,90,40,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,183
290,Shaquille O’Neal,Paint Beast,C,89,65,67,82,53,75,89,98,89,"2,746",89,35,26,46,98,95,34,38,99,75,78,67,80,58,95,75,92,50,90,95,98,66,58,25,70,47,95,42,55,88,42,93,92,95,88,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,216
291,Glen Rice,2-Way Sharpshooter,SF,88,91,82,72,71,76,66,98,88,"2,975",92,83,90,86,98,95,75,73,78,70,98,98,84,81,54,69,66,59,80,70,98,64,79,78,74,61,61,84,66,41,83,87,88,95,62,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,201
292,Chris Bosh,3-Level Scoring Glass Cleaner,PF,88,89,79,84,55,69,84,95,88,"2,931",86,84,85,84,98,95,69,60,75,75,95,95,87,78,80,69,86,84,88,89,95,52,58,52,69,43,76,70,57,61,49,80,76,80,82,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,211
293,Rony Seikaly,2-Way Inside-the-Arc Scorer,C,86,82,76,80,46,69,91,40,86,"2,756",95,76,60,74,97,90,60,55,90,80,95,74,76,72,85,60,92,85,92,76,80,35,35,25,78,59,89,42,56,81,42,88,69,85,92,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,211
294,Bam Adebayo,2-Way Inside-the-Arc Scorer,C,86,74,84,81,71,80,72,25,86,"2,922",93,77,69,74,55,75,74,74,85,83,92,90,90,83,85,80,80,80,82,86,70,72,69,66,74,73,92,79,59,72,73,92,80,90,63,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,206
295,Eddie Jones,Position: SG / SF,"Height: 6&apos6"" (198cm) | Weight: 190lbs (86kg)",85,87,80,67,76,76,43,90,85,"2,859",84,82,87,84,98,85,73,75,60,84,93,86,88,83,50,85,29,75,55,75,85,68,88,80,90,52,60,80,81,52,80,88,78,85,41,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN
296,Steve Smith,2-Way Sharpshooter,SG,85,89,74,70,71,68,49,90,85,"2,782",82,92,85,85,98,90,68,68,70,60,90,80,84,77,60,60,67,51,70,85,87,68,78,69,92,49,60,77,61,47,77,70,78,75,53,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,201
297,Goran Dragic,Versatile Offensive Force,PG,85,88,77,56,84,63,45,80,85,"2,694",87,86,88,77,95,95,79,79,44,72,95,85,84,93,25,45,25,60,39,74,85,90,85,79,88,80,32,73,70,40,77,74,70,70,38,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,191
298,Hassan Whiteside,2-Way Inside-the-Arc Scorer,C,84,69,71,72,37,71,94,70,86,"2,585",82,80,25,56,87,85,65,53,70,60,90,93,66,70,90,71,81,38,76,63,85,45,35,25,50,29,89,41,60,95,41,95,60,90,92,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,213
299,Udonis Haslem,2-Way Inside-the-Arc Scorer,PF,84,74,68,78,42,58,88,90,84,"2,573",84,88,25,79,88,80,54,29,84,57,81,96,76,70,80,64,80,88,85,74,85,32,40,28,80,31,84,29,58,37,29,85,63,80,88,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,203
300,LaMelo Ball,All-Around Threat,PG,87,87,80,69,90,72,58,98,93,"2,964",83,76,82,86,98,98,84,84,50,79,93,89,82,89,45,75,52,58,52,82,98,92,88,84,92,92,45,79,73,51,83,79,89,75,48,68,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,,,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,81,201
301,Terry Rozier III,Offensive Threat,SG,82,86,81,65,83,61,45,98,82,"2,769",85,88,81,84,90,90,82,82,62,81,92,87,82,87,40,70,45,53,48,78,95,84,88,82,85,75,55,75,53,50,77,59,65,50,36,53,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,86,185
302,Gordon Hayward,Sharpshooter,SF,80,81,78,65,74,62,47,70,84,"2,661",73,92,83,85,75,75,80,77,63,75,88,86,78,80,40,75,40,65,58,70,91,74,77,77,79,62,56,73,42,52,76,73,58,65,37,57,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,101,201
303,Kelly Oubre Jr.,3-Level Scorer,SF,79,81,79,60,66,63,51,80,79,"2,618",83,76,78,63,94,90,72,82,58,95,90,75,84,86,40,84,35,42,33,74,88,70,78,69,80,32,49,74,53,55,76,70,75,55,46,55,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,91,198
304,P.J. Washington,Inside-Out Scorer,PF,78,80,76,69,58,58,57,98,79,"2,609",86,66,80,71,98,80,75,75,68,69,85,80,79,74,65,80,62,65,69,60,80,55,70,63,60,42,62,52,43,72,67,64,62,40,48,65,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,104,201
305,Mason Plumlee,Glass-Cleaning Finisher,C,75,65,71,77,59,63,77,25,79,"2,557",85,60,58,35,80,70,57,41,73,75,78,92,83,79,80,80,75,70,70,79,81,75,37,50,72,63,74,46,46,67,48,77,68,75,71,83,,,1.0,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,114,211
306,Dennis Smith Jr.,Offense Initiator,PG,75,75,76,54,79,62,48,70,76,"2,551",82,73,71,70,80,75,86,87,54,91,88,45,80,76,25,85,30,31,38,69,80,76,86,85,75,75,25,66,86,57,77,65,75,45,41,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,188
307,Cody Martin,Inside-Out Scorer,SF,75,75,73,64,66,64,51,70,76,"2,561",72,60,82,73,95,70,58,58,58,75,90,90,80,85,25,75,59,59,55,79,75,74,73,57,78,46,48,69,70,56,72,69,69,60,47,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,198
308,Nick Richards,Interior Finisher,C,73,66,76,59,37,58,67,70,75,"2,330",81,69,25,73,80,70,72,70,65,75,81,85,84,62,80,80,44,47,40,40,80,37,35,49,36,29,73,47,40,86,52,75,40,50,69,64,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,213
309,Jalen McDaniels,Stretch Four,SF,73,73,74,64,56,52,56,65,75,"2,422",70,70,79,64,85,70,73,73,60,73,80,80,80,80,60,65,62,68,59,52,68,55,62,69,59,36,59,55,42,62,60,55,50,35,46,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,206
310,Mark Williams,Interior Finisher,C,72,58,76,72,39,58,64,45,81,"2,370",72,53,36,73,70,45,65,64,73,75,85,88,80,75,85,75,60,60,60,73,85,44,35,32,52,34,70,44,40,72,49,72,60,60,58,70,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,213
311,James Bouknight,3PT Shooter,SG,72,68,80,55,69,55,57,85,79,"2,473",53,72,78,81,60,65,87,87,54,90,87,75,80,75,35,85,30,37,38,60,82,69,80,84,68,44,44,69,38,32,80,68,69,40,62,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,193
312,Kai Jones,2-Way Interior Finisher,C,72,66,72,53,42,66,73,50,77,"2,329",68,69,69,69,60,60,66,66,65,69,84,75,80,64,80,80,41,40,40,42,37,38,35,57,48,30,78,47,42,77,65,84,67,65,75,70,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,208
313,Bryce McGowens,Athletic Finisher,SG,70,68,74,57,57,56,39,55,77,"2,314",71,74,72,83,55,50,74,74,48,81,85,75,80,74,40,80,42,42,42,55,78,52,74,72,50,38,37,66,41,35,75,65,60,65,30,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,198
314,J.T. Thor,Shot-Blocking Wing,PF,70,63,78,64,59,61,53,35,77,"2,433",71,70,65,74,55,40,84,84,50,82,85,80,80,70,55,70,67,66,68,41,75,65,60,69,66,37,65,63,43,78,64,62,62,50,47,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,206
315,Glen Rice,2-Way 3-Level Scorer,SF,90,94,82,73,72,72,56,85,90,"2,941",92,97,97,88,90,98,83,81,78,70,97,84,84,90,54,69,66,59,80,70,92,64,79,80,74,61,61,78,66,41,83,82,81,85,46,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,201
316,Kemba Walker,Playmaking Shot Creator,PG,89,89,82,54,87,62,44,90,89,"2,735",71,91,90,84,98,98,85,90,50,81,93,90,86,87,25,30,28,60,35,81,88,87,96,85,88,79,32,75,49,50,77,72,77,60,34,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,185
317,Eddie Jones,2-Way Scoring Machine,SG,89,90,83,67,76,85,43,90,89,"2,985",88,85,92,84,98,95,80,80,60,84,93,95,88,83,50,85,29,75,55,75,85,72,88,80,72,70,60,93,96,52,94,94,95,95,41,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,198
318,Larry Johnson,2-Way 3-Level Scorer,PF,88,89,81,83,71,66,85,80,88,"2,985",91,88,84,83,95,95,69,68,88,85,95,77,88,75,87,77,76,85,90,80,90,74,71,66,75,70,82,50,56,37,50,81,80,90,85,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,198
319,Derrick Coleman,2-Way Stretch Four,PF,86,86,72,77,50,69,70,98,86,"2,759",85,84,85,79,98,85,63,55,84,52,85,80,82,74,70,65,80,79,84,74,92,55,35,25,85,50,80,46,57,82,46,82,77,80,55,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,208
320,Vlade Divac,2-Way Inside-the-Arc Maestro,C,85,83,66,79,65,67,91,50,88,"2,773",94,84,69,62,90,98,39,35,84,51,90,75,90,75,85,55,87,80,89,79,85,79,50,25,89,82,84,41,71,80,41,80,70,65,90,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,216
321,Dell Curry,2-Way Diming Sharpshooter,SG,85,91,78,53,81,68,52,98,85,"2,750",88,90,96,86,98,90,80,79,55,60,98,98,79,74,25,55,25,51,25,70,98,82,82,80,82,77,33,78,65,40,78,80,82,85,50,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,196
322,Kendall Gill,2-Way 3-Level Scorer,SG,85,85,85,72,76,77,54,98,85,"2,969",88,84,77,80,98,85,79,78,70,85,98,98,90,82,65,90,52,74,48,79,84,77,75,70,95,62,56,78,79,55,80,90,88,90,52,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,196
323,Muggsy Bogues,Playmaking Shot Creator,PG,85,90,83,47,94,54,41,55,85,"2,621",90,93,84,88,95,90,95,94,25,95,92,90,90,77,25,25,25,40,25,75,82,95,95,95,92,92,25,66,79,27,73,60,45,60,35,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,160
324,Baron Davis,2-Way Playshot,PG,85,76,89,58,90,69,59,50,85,"2,790",70,77,80,67,80,80,91,91,66,89,90,95,98,92,25,85,38,39,42,60,84,88,92,91,92,88,25,76,85,40,89,78,85,70,55,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,191
325,Gerald Wallace,2-Way Sharpshooter,SF,84,78,79,63,69,88,69,25,84,"2,819",79,85,82,78,70,75,85,84,60,88,90,75,73,82,35,85,50,50,50,70,80,68,78,79,70,48,85,92,92,62,92,92,94,95,54,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,201
326,Stephen Jackson,2-Way 3-Level Point Forward,SF,83,84,72,67,77,66,57,98,83,"2,754",80,82,78,81,98,85,69,71,43,81,90,73,76,82,45,70,60,75,66,65,76,75,78,68,90,75,63,77,65,56,77,74,51,65,48,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,203
327,P.J. Brown,2-Way Inside-the-Arc Scorer,C,83,63,68,69,39,74,91,55,83,"2,515",82,85,26,85,65,35,50,38,80,74,85,75,76,69,95,79,65,52,62,70,58,40,35,25,64,31,90,56,58,75,56,94,75,90,93,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,211
328,David Wesley,2-Way Diming Sharpshooter,SG,82,88,80,53,82,67,52,98,84,"2,744",84,84,86,83,98,90,83,83,42,80,98,98,74,82,25,45,30,47,30,70,98,84,79,78,84,86,36,82,63,49,75,75,77,80,49,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,185
329,Mike Conley,2-Way Inside-Out Playmaker,PG,82,82,78,48,85,70,42,98,83,"2,665",91,71,84,83,80,80,83,84,40,92,85,80,82,76,25,30,25,40,29,75,84,90,89,83,90,73,31,83,70,47,82,83,80,80,37,47,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,,79,185
330,Collin Sexton,2-Way 3PT Shot Creator,SG,78,81,83,58,74,56,46,95,83,"2,613",82,76,76,74,85,90,88,88,58,84,95,90,81,85,30,75,25,38,28,85,95,78,86,87,76,44,45,67,46,25,76,67,69,50,47,44,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,86,185
331,Lauri Markkanen,Stretch Four,PF,78,81,67,75,53,54,55,80,79,"2,511",82,84,79,86,75,80,63,60,61,62,85,58,80,68,70,70,73,74,74,82,85,55,65,42,70,32,66,49,40,53,55,66,54,45,42,67,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,108,211
332,Jarred Vanderbilt,Glass-Cleaning Lockdown,PF,78,64,78,60,52,78,82,60,79,"2,602",57,59,59,77,70,60,75,76,70,80,75,95,78,75,75,75,40,32,50,50,85,60,65,65,38,32,80,80,76,63,77,82,88,80,80,84,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,96,206
